Rank,Title,Studio,Box.Office,Theaters,Time,Date,Adjusted.BO,OTHER,FOX,Sgem,Warner,Uni,Tris,Sony,MGM,IMDb,Users,Life,Adjusted.Life,RottenT
5,Alien,Fox,3527881,91,5/25/1979,1979,11472669.01,0,1,0,0,0,0,0,0,8.5,475666,80931801,92181321.34,94
10,Alien 3,Fox,19449867,2227,5/22/1992,1992,32734126.16,0,1,0,0,0,0,0,0,6.4,179224,55473545,63184367.76,48
13,Alien Resurrection,Fox,16474092,2415,11/26/1997,1997,24233389.33,0,1,0,0,0,0,0,0,6.3,145512,47795658,54439254.46,40
6,Alien Vs. Predator,Fox,38291056,3395,8/13/2004,2004,47863820,0,1,0,0,0,0,0,0,5.6,127705,80282231,91441461.11,39
4,Aliens,Fox,10052042,1437,7/18/1986,1986,21264089.65,0,1,0,0,0,0,0,0,8.4,419701,85160248,96997522.47,94
15,Aliens Vs. Predator - Requiem,Fox,10059425,2611,12/25/2007,2007,11457685.08,0,1,0,0,0,0,0,0,4.7,83818,41797066,47606858.17,31
28,Apollo 18,W/Dim.,8704271,3328,9/2/2011,2011,9139484.55,1,0,0,0,0,0,0,0,5.2,43898,17687709,20146300.55,23
29,Dark Skies,W/Dim.,8189166,2313,2/22/2013,2013,8303814.32,1,0,0,0,0,0,0,0,6.3,49325,17418667,19839861.71,49
40,Deepstar Six,TriS,3306320,1117,1/13/1989,1989,6295233.28,0,0,0,0,0,1,0,0,5.1,6342,8143225,9275133.275,23
19,Doom,Uni.,15488870,3044,10/21/2005,2005,18726043.83,0,0,0,0,1,0,0,0,5.2,81145,28212337,32133851.84,34
21,Event Horizon,Paramount,9511915,2311,8/15/1997,1997,13992026.97,1,0,0,0,0,0,0,0,6.7,103929,26673242,30380822.64,62
42,Hardware,Mira.,2381285,695,9/14/1990,1990,4302982,1,0,0,0,0,0,0,0,5.9,8575,5728953,6525277.467,54
35,Jason X,NL,6649006,1878,4/26/2002,2002,8730144.88,1,0,0,0,0,0,0,0,4.4,35051,13121555,14945451.15,25
38,John Carpenter's Ghosts of Mars,SGem,3804452,2048,8/24/2001,2001,5215903.69,0,0,1,0,0,0,0,0,4.9,39675,8709640,9920279.96,24
32,Leviathan,MGM,5029164,1393,3/17/1989,1989,9575528.26,0,0,0,0,0,0,0,1,5.7,11623,14225876,16203272.76,25
36,Lifeforce,TriS,4209136,1526,6/21/1985,1985,9234844.38,0,0,0,0,0,1,0,0,6.1,13754,11603545,13216437.76,45
23,Mary Shelley's Frankenstein,Sony,11212889,2177,11/4/1994,1994,17862132.18,0,0,0,0,0,0,1,0,6.4,39155,22006296,25065171.14,50
41,Maximum Overdrive,DEG,3205644,1198,7/25/1986,1986,6781219.32,1,0,0,0,0,0,0,0,5.4,20873,7433663,8466942.157,51
22,Mimic,Mira.,7818208,2255,8/22/1997,1997,11500583.97,1,0,0,0,0,0,0,0,5.9,33430,25480490,29022278.11,37
44,Monkey Shines,Orion,1902024,1181,7/29/1988,1988,3796439.9,1,0,0,0,0,0,0,0,6.2,7037,5344577,6087473.203,41
37,Pandorum,Over.,4424126,2506,9/25/2009,2009,4870962.73,1,0,0,0,0,0,0,0,6.8,109627,10330853,11766841.57,48
18,Pitch Black,USA,11577688,1832,2/18/2000,2000,15873010.25,1,0,0,0,0,0,0,0,7.1,178167,39240659,44695110.6,77
47,Re-Animator,EP,543728,129,10/18/1985,1985,1192939.23,1,0,0,0,0,0,0,0,7.3,34411,2023414,2304668.546,82
17,Resident Evil,SGem,17707106,2528,3/15/2002,2002,23249430.18,0,0,1,0,0,0,0,0,6.7,179794,40119709,45696348.55,68
8,Resident Evil: Afterlife,SGem,26650264,3203,9/10/2010,2010,28862235.91,0,0,1,0,0,0,0,0,5.9,118778,60128566,68486436.67,49
11,Resident Evil: Apocalypse,SGem,23036273,3284,9/10/2004,2004,28795341.25,0,0,1,0,0,0,0,0,6.2,137243,51201453,58318454.97,61
12,Resident Evil: Extinction,SGem,23678580,2828,9/21/2007,2007,26969902.62,0,0,1,0,0,0,0,0,6.3,135796,50648679,57688845.38,58
14,Resident Evil: Retribution,SGem,21052227,3012,9/14/2012,2012,21641689.36,0,0,1,0,0,0,0,0,5.3,92963,42345531,48231559.81,52
43,Screamers,Sony,2904140,1560,1/26/1996,1996,4370730.7,0,0,0,0,0,0,1,0,6.4,18344,5711695,6505620.605,45
9,Species,MGM,17161943,2310,7/7/1995,1995,26583849.71,0,0,0,0,0,0,0,1,5.8,56044,60074103,68424403.32,31
27,Species II,MGM,7274008,2510,4/10/1998,1998,10540037.59,0,0,0,0,0,0,0,1,4.2,21134,19221939,21893788.52,18
39,The Blob,TriS,2644920,1081,8/5/1988,1988,5035927.68,0,0,0,0,0,1,0,0,6.3,20501,8247943,9394407.077,54
16,The Fly,Fox,7007423,1195,8/15/1986,1986,14823502.61,0,1,0,0,0,0,0,0,7.5,103041,40456565,46080027.54,82
24,The Fly II,Fox,6751371,1524,2/10/1989,1989,12854610.38,0,1,0,0,0,0,0,0,4.9,15095,20021322,22804285.76,23
20,The Island of Dr. Moreau,NL,9101987,2035,8/23/1996,1996,13698490.44,1,0,0,0,0,0,0,0,4.4,24125,27663982,31509275.5,20
45,The Kindred,FMEnt,602834,207,1/9/1987,1987,1275235.04,1,0,0,0,0,0,0,0,5.5,1019,2407024,2741600.336,43
26,The Thing (1982),Uni.,3107897,840,6/25/1982,1982,6665506.7,0,0,0,0,1,0,0,0,8.2,220150,19629760,22358296.64,92
31,The Thing (2011),Uni.,8493665,2996,10/14/2011,2011,8918348.25,0,0,0,0,1,0,0,0,6.3,84790,16928670,19281755.13,43
46,Videodrome,Uni.,1194175,600,2/4/1983,1983,2831388.93,0,0,0,0,1,0,0,0,7.3,52340,2120439,2415180.021,81
34,Virus,Uni.,6013640,2018,1/15/1999,1999,8713764.36,0,0,0,0,1,0,0,0,4.8,20591,14036005,15987009.7,20
48,Watchers,Uni.,260820,161,12/2/1988,1988,520596.72,0,0,0,0,1,0,0,0,5.2,2845,940173,1070857.047,29
25,Altered States,Warner Brothers,174650,3,12/25/1980,1980,500546.9,0,0,0,1,0,0,0,0,6.9,21421,19853892,22613582.99,71
30,Splice,Warner Brothers,7385277,2450,6/4/2010,2010,7998254.99,0,0,0,1,0,0,0,0,5.8,73925,17010170,19374583.63,37
