Theaters,Date,Adjusted.BO,OTHER,FOX,Sgem,Warner,Uni,Tris,Sony,MGM,Paramount
3264,2002,78933726.04,1,0,0,0,0,0,0,0,0
1198,1986,6781219.32,1,0,0,0,0,0,0,0,0
129,1985,1192939.23,1,0,0,0,0,0,0,0,0
207,1987,1275235.04,1,0,0,0,0,0,0,0,0
91,1979,11472669.01,0,1,0,0,0,0,0,0,0
1524,1989,12854610.38,0,1,0,0,0,0,0,0,0
1195,1986,14823502.61,0,1,0,0,0,0,0,0,0
1437,1986,21264089.65,0,1,0,0,0,0,0,0,0
2611,2007,11457685.08,0,1,0,0,0,0,0,0,0
2415,1997,24233389.33,0,1,0,0,0,0,0,0,0
2227,1992,32734126.16,0,1,0,0,0,0,0,0,0
3395,2004,47863820,0,1,0,0,0,0,0,0,0
1393,1989,9575528.26,0,0,0,0,0,0,0,1,0
2510,1998,10540037.59,0,0,0,0,0,0,0,1,0
2310,1995,26583849.71,0,0,0,0,0,0,0,1,0
695,1990,4302982,1,0,0,0,0,0,0,0,0
2255,1997,11500583.97,1,0,0,0,0,0,0,0,0
1878,2002,8730144.88,1,0,0,0,0,0,0,0,0
2035,1996,13698490.44,1,0,0,0,0,0,0,0,0
1181,1988,3796439.9,1,0,0,0,0,0,0,0,0
2506,2009,4870962.73,1,0,0,0,0,0,0,0,0
2311,1997,13992026.97,0,0,0,0,0,0,0,0,1
3908,2005,78438378.53,0,0,0,0,0,0,0,0,1
2048,2001,5215903.69,0,0,1,0,0,0,0,0,0
2528,2002,23249430.18,0,0,1,0,0,0,0,0,0
3012,2012,21641689.36,0,0,1,0,0,0,0,0,0
3284,2004,28795341.25,0,0,1,0,0,0,0,0,0
2828,2007,26969902.62,0,0,1,0,0,0,0,0,0
3203,2010,28862235.91,0,0,1,0,0,0,0,0,0
1560,1996,4370730.7,0,0,0,0,0,0,1,0,0
2177,1994,17862132.18,0,0,0,0,0,0,1,0,0
1081,1988,5035927.68,0,0,0,0,0,1,0,0,0
1117,1989,6295233.28,0,0,0,0,0,1,0,0,0
1526,1985,9234844.38,0,0,0,0,0,1,0,0,0
161,1988,520596.72,0,0,0,0,1,0,0,0,0
600,1983,2831388.93,0,0,0,0,1,0,0,0,0
840,1982,6665506.7,0,0,0,0,1,0,0,0,0
2018,1999,8713764.36,0,0,0,0,1,0,0,0,0
2996,2011,8918348.25,0,0,0,0,1,0,0,0,0
3044,2005,18726043.83,0,0,0,0,1,0,0,0,0
2536,2013,34535177.04,0,0,0,0,1,0,0,0,0
1832,2000,15873010.25,1,0,0,0,0,0,0,0,0
2313,2013,8303814.32,1,0,0,0,0,0,0,0,0
3328,2011,9139484.55,1,0,0,0,0,0,0,0,0
3,1980,500546.9,0,0,0,1,0,0,0,0,0
2450,2010,7998254.99,0,0,0,1,0,0,0,0,0
3606,2007,87943694.62,0,0,0,1,0,0,0,0,0
